ZipCode,Population,HouseholdsPerZipCode,WhitePop,BlackPop,HispanicPop,AsianPop,HawaiianPop,IndianPop,MalePop,FemalePop,PersonsPerHousehold,AverageHouseValue,IncomePerHousehold
1247,16087,6821,15428,525,497,148,26,171,7672,8415,2.2,89600,29288
1252,,,,,,,,,,,,,
1253,731,324,718,5,11,7,,6,360,371,2.26,132000,54107
1254,972,437,958,7,17,6,,3,464,508,2.22,193800,58125
1255,915,377,894,14,10,13,2,1,490,425,2.28,129000,45469
1256,692,298,672,23,9,7,,13,351,341,2.32,99100,41477
1257,2121,957,2046,31,69,14,,22,1055,1066,2.21,159300,45586
1258,374,176,367,5,4,4,,1,177,197,2.13,165300,53125
1259,635,281,623,2,12,7,,3,318,317,2.26,157000,56000
1260,240,105,233,7,1,1,,,115,125,2.29,,
1262,1238,582,1199,12,44,21,,7,576,662,1.89,217600,37917
1263,,,,,,,,,,,,,
1264,137,61,135,,3,1,,1,62,75,1.97,219400,49750
1266,1463,675,1423,13,27,20,,6,703,760,2.16,185500,51818
1267,7989,2638,7250,337,323,516,8,56,3736,4253,2.16,164300,51503
1270,778,324,764,10,4,14,,9,397,381,2.4,,
1301,17700,7952,16759,496,854,325,16,226,8428,9272,2.15,107900,33498
1302,,,,,,,,,,,,,
1330,1506,664,1479,17,28,13,2,35,737,769,2.27,127800,52361
1331,13263,5287,12867,227,451,146,3,100,6547,6716,2.48,89000,35479
1337,2596,1078,2571,10,24,26,,13,1300,1296,2.41,120200,45903
1338,187,77,187,2,3,2,,3,92,95,2.43,112500,23750
1339,1438,608,1413,6,11,22,2,23,725,713,2.32,105200,46167
1340,1701,700,1672,21,13,17,3,20,878,823,2.43,109900,40455
1341,1833,741,1806,12,28,17,3,34,898,935,2.47,155200,55938
1342,1492,473,1440,28,44,43,4,4,773,719,2.46,138800,56776
1343,75,30,75,1,,,,2,36,39,2.5,,
1344,1498,622,1480,13,30,17,2,7,734,764,2.41,97100,41250
1346,533,223,528,6,9,2,,8,271,262,2.39,95800,48438
1347,166,71,159,4,1,7,,1,84,82,2.34,,
1349,1091,445,1062,15,28,17,,13,528,563,2.45,95600,35592
1350,121,57,115,3,3,3,,,62,59,2.12,48600,25500
1351,2270,975,2191,37,62,37,3,24,1100,1170,2.33,128600,56102
1354,1500,568,1463,15,12,21,,13,746,754,2.35,,
1355,878,363,860,6,9,8,,9,447,431,2.42,123500,49500
1360,3032,1226,2985,23,56,17,2,18,1498,1534,2.45,124900,49141
1364,7969,3224,7708,139,223,100,12,77,3876,4093,2.46,86700,36836
1366,1277,510,1265,6,15,6,,7,652,625,2.43,143900,47917
1367,522,223,515,7,6,,,4,258,264,2.34,120800,41667
1368,1261,500,1231,10,33,10,,15,628,633,2.52,108000,44856
1370,4084,1808,3999,43,40,45,2,57,1973,2111,2.23,120600,45545
1373,4600,1973,4454,57,109,106,4,21,2222,2378,2.32,158500,51544
1375,3684,1648,3295,141,181,217,5,49,1813,1871,2.21,161900,37147
1376,5247,2340,4971,145,352,62,12,86,2558,2689,2.18,110300,30062
1378,774,324,762,1,8,8,,10,385,389,2.39,107600,42083
1379,813,377,781,18,17,7,1,9,404,409,2.14,100900,44722
1380,,,,,,,,,,,,98000,32083
1420,40337,15175,32857,2743,8727,1722,47,341,19602,20735,2.49,112100,37004
1430,6089,2151,5907,85,154,96,8,40,3091,2998,2.75,128300,55795
1431,3074,1105,3032,21,57,25,1,26,1545,1529,2.78,144200,61000
1432,7089,3086,6259,458,393,326,25,83,3529,3560,2.3,171100,46619
1434,1795,112,1381,353,194,49,1,,1476,319,2.69,,
